Cuisine,Count
New American,6
Mexican,4
Seafood,3
Indian,2
Persian,2
Vietnamese,2
Barbecue,2
Korean,2
Southern,2
"French, New American",1
Mediterranean,1
Bistro,1
"Thai, Chinese",1
Thai,1
Polish,1
Nordic Seafood,1
Soul Food,1
Laotian,1
"Kurdish, Turkish",1
"Soul Food, Southern",1
Raw Bar,1
Levantine,1
"Oyster, New American",1
Hmong,1
Indo-Tex,1
Steakhouse,1
Scottish,1
French,1
"Italian, Pizza",1
"Chinese, Cantonese",1
"Italian, New American",1
Cantonese,1
French-Japanese,1
Guamanian,1
